Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-50.0	-50.0	-45.0	-1.0830723	2.2466862	1.7211272	-16.016642	-1.0833545	0.1	2500	27.691554069519043
1	-50.0	-50.0	-50.0	-2.4796338	5.134324	1.9049145	-23.1546	-2.4795613	0.0	5000	46.16825532913208
2	-50.0	-50.0	-45.0	-3.5934834	7.6966953	2.6288853	-30.087803	-3.5935912	0.1	7500	64.57223224639893
3	-50.0	-50.0	-50.0	-4.513409	9.943875	3.3072906	-39.98346	-4.513474	0.0	10000	81.09446787834167
4	-50.0	-50.0	-50.0	-5.247482	11.793559	5.1320443	-42.728054	-5.247756	0.0	12500	98.29727673530579
5	-50.0	-50.0	-50.0	-5.8797207	13.256816	7.7596416	-40.881203	-5.8798633	0.0	15000	114.51329112052917
6	-50.0	-50.0	-50.0	-6.4431005	14.488059	8.831314	-43.49311	-6.4431686	0.0	17500	130.522052526474
7	-49.96	-49.96	-50.0	-6.971148	15.530092	9.831621	-81.04413	-6.971517	0.0	20000	146.66590809822083
8	-49.0	-49.0	-50.0	-7.5078545	16.319597	10.758847	-89.139626	-7.507839	0.0	22500	162.24478816986084
9	-49.0	-49.0	-50.0	-8.1068125	16.755978	8.769697	-102.70781	-8.10685	0.0	25000	178.1184709072113
10	-49.72	-49.72	-48.0	-8.621642	16.775728	10.178109	-110.795074	-8.621585	0.0	27500	193.9743733406067
11	-50.0	-50.0	-49.6	-9.026462	16.542917	11.414427	-133.12424	-9.026568	0.0	30000	209.47748064994812
12	-49.46	-49.46	-50.0	-9.383223	16.58926	9.145335	-119.971634	-9.38321	0.0	32500	225.2356152534485
13	-49.96	-49.96	-50.0	-9.694771	16.719408	7.0003395	-118.056786	-9.694517	0.0	35000	240.7498002052307
14	-49.86	-49.86	-50.0	-9.92841	16.885576	4.676556	-120.26685	-9.928294	0.0	37500	256.18714714050293
15	-50.0	-50.0	-50.0	-10.164399	17.046854	6.265731	-128.11404	-10.164416	0.0	40000	271.81357288360596
16	-50.0	-50.0	-50.0	-10.380446	17.283796	6.690217	-143.34631	-10.38018	0.0	42500	289.78687286376953
17	-49.5	-49.5	-50.0	-10.63187	17.542337	5.7864122	-156.6865	-10.631778	0.0	45000	307.2655806541443
18	-49.8	-49.8	-48.8	-10.849943	17.811834	6.6361394	-167.01288	-10.850049	0.0	47500	324.0299639701843
19	-49.24	-49.24	-50.0	-10.982733	17.970997	7.0775523	-185.41786	-10.982735	0.0	50000	341.6500151157379
20	-49.0	-49.0	-47.1	-11.127003	18.151892	6.5223565	-189.77324	-11.127312	0.1	52500	358.2344515323639
21	-49.48	-49.48	-49.8	-11.31613	18.355392	7.943895	-189.61475	-11.316519	0.1	55000	375.83244490623474
22	-48.96	-48.96	-49.4	-11.399129	18.390575	7.769966	-157.99182	-11.399249	0.0	57500	393.52882051467896
23	-49.76	-49.76	-47.0	-11.4842415	18.520113	7.6843185	-163.12361	-11.484232	0.0	60000	410.6727213859558
24	-49.24	-49.24	-47.3	-11.660864	18.724707	6.8398466	-162.63336	-11.661103	0.1	62500	428.1815640926361
