Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-200.0	-200.0	-200.0	-4.318743	2.1429296	0.07215364	-12.10732	-4.318743	0.0	10000	52.93604612350464
1	-200.0	-200.0	-200.0	-10.53637	2.6026967	-0.18870336	-20.344921	-10.53637	0.0	20000	109.20368981361389
2	-200.0	-200.0	-200.0	-15.779798	3.4103563	1.8707219	-27.39328	-15.779798	0.0	30000	178.96983194351196
3	-200.0	-200.0	-200.0	-20.25033	4.0867143	1.8159106	-35.62252	-20.25033	0.0	40000	246.27970910072327
4	-200.0	-200.0	-200.0	-23.942188	4.6129556	2.2911217	-40.17911	-23.942188	0.0	50000	314.6865701675415
5	-200.0	-200.0	-200.0	-26.958067	5.041557	-0.45678192	-42.675774	-26.958067	0.0	60000	379.99435210227966
6	-200.0	-200.0	-200.0	-29.461397	5.36192	-1.6224643	-45.496117	-29.461397	0.0	70000	444.56092047691345
7	-200.0	-200.0	-200.0	-31.6214	5.558961	-2.701527	-47.89947	-31.6214	0.0	80000	506.5239722728729
8	-200.0	-200.0	-200.0	-33.43366	5.6615257	-4.6993976	-49.082115	-33.43366	0.0	90000	566.2413680553436
9	-200.0	-200.0	-200.0	-34.96012	5.7225494	-6.0386333	-49.5514	-34.96012	0.0	100000	628.6569905281067
10	-200.0	-200.0	-200.0	-36.289318	5.775058	-6.4804935	-51.064472	-36.289318	0.0	110000	688.0159602165222
11	-200.0	-200.0	-200.0	-37.415848	5.785269	-7.3821445	-52.516903	-37.415848	0.0	120000	746.8882348537445
12	-200.0	-200.0	-200.0	-38.355553	5.7735286	-9.01051	-53.32268	-38.355553	0.0	130000	805.5862772464752
13	-200.0	-200.0	-200.0	-39.070766	5.8155236	-9.2738695	-54.584682	-39.070766	0.0	140000	864.0115277767181
14	-200.0	-200.0	-200.0	-39.626358	5.909018	-10.606782	-55.128143	-39.626358	0.0	150000	928.6317276954651
15	-200.0	-200.0	-200.0	-40.123158	5.9459376	-9.202673	-55.912838	-40.123158	0.0	160000	991.4624571800232
16	-200.0	-200.0	-200.0	-40.57253	5.9746785	-12.763906	-56.902428	-40.57253	0.0	170000	1056.6246347427368
17	-200.0	-200.0	-200.0	-40.927853	5.9909024	-14.40864	-57.285973	-40.927853	0.0	180000	1119.4606657028198
18	-200.0	-200.0	-200.0	-41.292168	5.9751625	-14.589565	-57.59663	-41.292168	0.0	190000	1183.5176646709442
19	-200.0	-200.0	-200.0	-41.632156	5.92925	-14.035255	-59.83264	-41.632156	0.0	200000	1247.8768692016602
20	-200.0	-200.0	-200.0	-41.979195	5.844753	-14.435324	-59.026424	-41.979195	0.0	210000	1313.3059523105621
21	-200.0	-200.0	-200.0	-42.158665	5.844763	-18.864614	-59.018208	-42.158665	0.0	220000	1375.4996273517609
22	-200.0	-200.0	-200.0	-42.385464	5.785034	-17.951561	-58.224358	-42.385464	0.0	230000	1435.548005580902
