Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-100.0	-100.0	-70.0	-0.8072351	0.98193187	2.5338197	-14.041796	-0.807678	0.3	5000	37.60348653793335
1	-98.0	-98.0	-90.0	-1.0995072	1.6338319	2.8964992	-17.492323	-1.0996766	0.1	10000	60.27224326133728
2	-94.0	-94.0	-100.0	-1.1542699	2.019063	2.8217378	-25.595331	-1.1544529	0.0	15000	84.62799906730652
3	-100.0	-100.0	-100.0	-1.0358964	2.061914	3.550253	-23.668291	-1.0361907	0.0	20000	119.79867577552795
4	-97.24	-97.24	-100.0	-0.93891263	2.1472523	3.6698782	-29.84276	-0.93900347	0.0	25000	140.73403406143188
5	-100.0	-100.0	-100.0	-0.8855552	2.2361817	4.3044887	-24.727966	-0.8856266	0.0	30000	161.70823907852173
6	-94.0	-94.0	-100.0	-0.8127706	2.2972884	5.8396235	-26.991644	-0.8128321	0.0	35000	194.8854627609253
7	-98.0	-98.0	-100.0	-0.6263147	2.407936	7.5359125	-29.452852	-0.6263556	0.0	40000	215.7976574897766
8	-100.0	-100.0	-100.0	-0.45938084	2.546735	7.776497	-38.548035	-0.45954248	0.0	45000	236.36902475357056
9	-94.0	-94.0	-100.0	-0.3828664	2.6188822	8.59219	-33.54132	-0.3831028	0.0	50000	269.70482563972473
10	-94.0	-94.0	-100.0	-0.29046002	2.6287613	8.496363	-36.596584	-0.29063123	0.0	55000	291.2668557167053
11	-98.0	-98.0	-100.0	-0.25751892	2.6118233	9.116455	-43.317673	-0.25767547	0.0	60000	313.89803194999695
12	-84.0	-84.0	-100.0	-0.2524269	2.6561909	9.739613	-39.776848	-0.25273883	0.0	65000	348.8660454750061
13	-96.0	-96.0	-100.0	-0.19503109	2.6023219	9.905079	-41.21453	-0.19532445	0.0	70000	370.79185724258423
14	-96.0	-96.0	-100.0	-0.21517833	2.552152	9.611265	-39.800144	-0.21522468	0.0	75000	391.4239749908447
15	-98.0	-98.0	-90.0	-0.24888204	2.5185537	9.227329	-43.506546	-0.24879666	0.1	80000	424.8275136947632
16	-96.0	-96.0	-100.0	-0.28366292	2.4494815	8.593842	-39.72276	-0.283768	0.0	85000	446.2927796840668
17	-100.0	-100.0	-100.0	-0.35378227	2.450955	10.00903	-34.722317	-0.3540163	0.0	90000	466.72283148765564
18	-96.0	-96.0	-100.0	-0.391691	2.415481	10.104686	-28.315489	-0.39161918	0.0	95000	499.7320468425751
19	-100.0	-100.0	-100.0	-0.42443815	2.3899872	12.358962	-29.36272	-0.42464772	0.0	100000	520.2369673252106
20	-100.0	-100.0	-100.0	-0.4294323	2.3729255	15.219005	-31.838049	-0.429411	0.0	105000	540.473151922226
21	-94.0	-94.0	-100.0	-0.43455347	2.3567207	15.568691	-34.329315	-0.4346184	0.0	110000	573.5611572265625
22	-92.0	-92.0	-100.0	-0.466757	2.318772	17.656492	-30.051281	-0.4666367	0.0	115000	595.3243434429169
23	-98.0	-98.0	-90.0	-0.50183225	2.2955363	20.86648	-32.23883	-0.50149983	0.1	120000	616.4701662063599
24	-92.0	-92.0	-90.0	-0.5299282	2.259709	21.94558	-33.45003	-0.5299905	0.1	125000	649.3380138874054
25	-94.0	-94.0	-100.0	-0.5716336	2.234845	20.446789	-33.298798	-0.5715057	0.0	130000	670.3963766098022
26	-100.0	-100.0	-90.0	-0.5898804	2.193602	18.821695	-34.957134	-0.5897869	0.1	135000	693.6167635917664
